ID,Mã task,Ngữ cảnh & các bước,Kết quả mong đợi,Nhóm chức năng,Trạng thái,Người nhận,🐞 Báo lỗi,Vai trò,Độ ưu tiên
1,AUTH-03,"Dùng tài khoản Zalo CHƯA từng đăng nhập app. 1) Mở app lần đầu. 2) Khi hỏi quyền lấy tên, bấm Từ chối/Bỏ qua.","App vẫn vào được, không treo, không lỗi đỏ; tên hiện 'Zalo User' hoặc màn đăng ký.",Xác thực,Đạt,,,Khách,Cơ bản
5,AUTH-05,Dùng tài khoản KH-KHOA (đã bị admin khoá). 1) Đăng nhập. 2) Thử đặt 1 đơn hoặc thao tác bất kỳ cần đăng nhập.,"Báo: 'Tài khoản đã bị vô hiệu hoá, vui lòng liên hệ admin'.",Xác thực,Chưa nhận,,,Khách,Nâng cao
6,AUTH-02,"Tiếp nối AUTH-01. 1) Ở trang Cá nhân, làm theo bước app yêu cầu để chia sẻ số điện thoại.",Số điện thoại hiển thị đúng số thật của bạn.,Xác thực,Đạt,,,Khách,Cơ bản
9,AUTH-01,"Bạn là khách mới. 1) Mở app lần đầu. 2) Khi Zalo hỏi cấp quyền, bấm Đồng ý. 3) Vào trang Cá nhân.",Hiện đúng TÊN Zalo và ẢNH đại diện của bạn.,Xác thực,Có lỗi,,,Khách,Cơ bản
12,AUTH-04,Dùng tài khoản đã đăng nhập ở AUTH-01. 1) Thoát hẳn app. 2) Mở lại app (đăng nhập lần 2).,Vẫn đúng tên/ảnh/SĐT cũ; KHÔNG tạo tài khoản mới trùng.,Xác thực,Đạt,,,Khách,Cơ bản
4,ROLE-06,Dùng tài khoản OWNER-B (chủ Farm B). 1) Vào Hub. 2) Xem danh sách Kho và Đơn.,Chỉ thấy dữ liệu của Farm B; KHÔNG thấy đơn/kho của Farm A.,Phân quyền,Chưa nhận,,,Farm Owner,Nâng cao
7,ROLE-04,Dùng tài khoản STAFF-A (nhân viên farm). 1) Vào Hub. 2) Mở Kho & Đơn. 3) Tìm mục Thanh toán/Rút tiền (payout).,Vào được Kho & Đơn; KHÔNG vào/không thấy mục payout.,Phân quyền,Chưa nhận,,,Farm Staff,Cơ bản
8,ROLE-01,Bạn là khách thường. 1) Tìm/thử mở khu vực Quản lý Farm (Farm Hub).,"Không thấy menu Hub, hoặc mở bị chặn — không được vào.",Phân quyền,Chưa nhận,,,Khách,Cơ bản
11,ROLE-05,Dùng tài khoản SUSPEND-A (farm bị tạm dừng). 1) Thử vào Hub.,Bị chặn: tài khoản chưa được gán farm / farm đã bị vô hiệu hoá.,Phân quyền,Chưa nhận,,,Farm Owner,Nâng cao
13,ROLE-02,Dùng tài khoản KH-REQ (đã đăng ký làm đối tác farm nhưng admin CHƯA duyệt). 1) Thử vào Farm Hub.,Bị chặn: 'Bạn không có quyền truy cập chức năng Farm Partner'.,Phân quyền,Chưa nhận,,,Khách,Cơ bản
15,ROLE-03,"Dùng tài khoản OWNER-A (chủ farm). 1) Vào Hub. 2) Mở lần lượt: Bảng điều khiển, Kho, Đơn đang đến, Thanh toán/Rút tiền (payout).","Vào được TẤT CẢ mục, kể cả payout.",Phân quyền,Chưa nhận,,,Farm Owner,Cơ bản
2,PROD-04,"Cần phối hợp Admin + Khách. 1) Admin tạo SP và gắn vào farm. 2) Dùng KH-1 mở mini app, tìm SP đó.",Khách NHÌN THẤY sản phẩm mới trong app.,Sản phẩm,Chưa nhận,,,Admin,Cơ bản
3,PROD-03,"Trên admin web. 1) Tạo SP, tải ảnh SAI định dạng (vd .txt) hoặc ảnh >2MB. 2) Bấm Lưu.","Bị chặn, báo lỗi ảnh không hợp lệ.",Sản phẩm,Chưa nhận,,,Admin,Cơ bản
10,PROD-02,Trên admin web. 1) Tạo sản phẩm nhưng BỎ TRỐNG tên. 2) Bấm Lưu.,"Bị chặn, báo lỗi 'tên bắt buộc'.",Sản phẩm,Có lỗi,,,Admin,Cơ bản
14,PROD-05,Dùng KH-1. 1) Tìm 1 sản phẩm CHƯA nhập kho (chưa có lô hàng nào).,"Hiển thị 'Hết hàng', không thêm vào giỏ được.",Sản phẩm,Chưa nhận,,,Khách,Cơ bản
16,PROD-01,"Trên admin web. 1) Tạo sản phẩm mới: nhập đủ tên, giá, danh mục, đơn vị, tải ảnh hợp lệ. 2) Bấm Lưu.","Lưu thành công, sản phẩm xuất hiện trong danh sách.",Sản phẩm,Chưa nhận,,,Admin,Cơ bản
21,STOCK-04,Dùng KH-1. 1) Chọn SP Y chỉ còn 2kg. 2) Thử đặt 5kg.,Bị chặn: 'Một số sản phẩm không đủ số lượng tồn kho'.,Quản lý kho,Chưa nhận,,,Khách,Cơ bản
22,STOCK-05,Dùng KH-1. 1) Chọn SP chỉ còn 1 lô. 2) Mua hết sạch số lượng còn lại.,SP chuyển sang 'Hết hàng' sau khi đặt.,Quản lý kho,Chưa nhận,,,Khách,Nâng cao
23,STOCK-07,Cần Owner + Khách. 1) OWNER-A nhập 2 lô cùng 1 SP: lô A hết hạn sớm hơn lô B. 2) KH-1 mua 1 ít. 3) Owner xem lô nào bị trừ.,Số lượng bị trừ vào LÔ A (hết hạn sớm) trước.,Quản lý kho,Chưa nhận,,,Farm Owner,Nâng cao
